#General
Name: Spectrum
Artist: Zedd
Mode: Runner
Difficulty: 10

BPM: 130
SongLength: 400
LeadIn: 1.2
BeatsPerMeasure: 4
AppearanceTime: 2

#GameElements
175, Good, 10, 1
677.5, Good, 10, 4
677.5, Bad, 10, 7
677.5, Bad, 10, 1
658, Good, 10, 5
453, Good, 10, 4
285, Good, 10, 5
674.5, Good, 10, 4
674.5, Bad, 10, 7
674.5, Bad, 10, 1
356, Good, 10, 7
356, Bad, 10, 2
356, Bad, 10, 3
356, Bad, 10, 6
127, Good, 10, 5
50.5, Good, 10, 4
50.5, Bad, 10, 6
592.5, Good, 10, 2
592.5, Bad, 10, 7
592.5, Bad, 10, 8
592.5, Bad, 10, 9
609.5, Bad, 10, 5
609.5, Bad, 10, 7
609.5, Bad, 10, 9
609.5, Bad, 10, 3
609.5, Bad, 10, 1
487, Good, 10, 5
487, Bad, 10, 1
487, Bad, 10, 3
707.5, Bad, 10, 7
724, Good, 10, 5
724, Bad, 10, 8
258, Good, 10, 5
503.5, Good, 10, 2
503.5, Bad, 10, 1
503.5, Bad, 10, 3
740.5, Bad, 10, 1
389, Good, 10, 9
389, Bad, 10, 1
389, Bad, 10, 2
389, Bad, 10, 3
757, Good, 10, 5
757, Bad, 10, 2
395, Good, 10, 2
395, Bad, 10, 7
395, Bad, 10, 8
395, Bad, 10, 9
765.25, Good, 10, 5
528, Good, 10, 4
208, Good, 10, 4
78, Good, 10, 8
78, Bad, 10, 9
405.5, Bad, 10, 6
405.5, Bad, 10, 3
544.5, Good, 10, 9
4, Good, 10, 5
4, Bad, 10, 8
4, Bad, 10, 2
4, Bad, 10, 4
4, Bad, 10, 6
291, Good, 10, 8
561, Good, 10, 7
561, Bad, 10, 1
561, Bad, 10, 2
561, Bad, 10, 3
49.5, Good, 10, 4
49.5, Bad, 10, 6
173, Good, 10, 4
422, Good, 10, 9
577.5, Good, 10, 6
577.5, Bad, 10, 7
577.5, Bad, 10, 4
577.5, Bad, 10, 1
307.5, Good, 10, 5
594, Good, 10, 9
594, Bad, 10, 4
594, Bad, 10, 1
594, Bad, 10, 2
148, Good, 10, 4
438.5, Good, 10, 8
610.5, Bad, 10, 5
610.5, Bad, 10, 7
610.5, Bad, 10, 9
610.5, Bad, 10, 3
610.5, Bad, 10, 1
324, Good, 10, 3
324, Bad, 10, 7
119, Good, 10, 9
627, Good, 10, 5
635.25, Good, 10, 5
635.25, Bad, 10, 4
635.25, Bad, 10, 6
455, Good, 10, 8
723.5, Bad, 10, 9
738.5, Bad, 10, 9
660, Good, 10, 5
241, Good, 10, 5
241, Bad, 10, 2
241, Bad, 10, 8
676.5, Good, 10, 4
676.5, Bad, 10, 7
676.5, Bad, 10, 1
357, Good, 10, 8
357, Bad, 10, 1
357, Bad, 10, 2
357, Bad, 10, 3
693, Good, 10, 5
488, Good, 10, 5
488, Bad, 10, 1
488, Bad, 10, 3
192, Good, 10, 4
70, Good, 10, 8
70, Bad, 10, 9
513.5, Bad, 10, 7
726, Good, 10, 5
726, Bad, 10, 2
259, Good, 10, 5
504.5, Good, 10, 2
504.5, Bad, 10, 1
504.5, Bad, 10, 3
742.5, Bad, 10, 3
750.75, Good, 10, 8
143, Good, 10, 1
759, Good, 10, 5
530, Good, 10, 3
208.5, Good, 10, 1
406.5, Bad, 10, 3
406.5, Bad, 10, 2
292, Good, 10, 5
111, Good, 10, 1
563, Good, 10, 6
563, Bad, 10, 7
563, Bad, 10, 4
563, Bad, 10, 1
423, Good, 10, 8
579.5, Good, 10, 2
579.5, Bad, 10, 7
579.5, Bad, 10, 8
579.5, Bad, 10, 9
308.5, Good, 10, 5
596, Good, 10, 1
596, Bad, 10, 8
596, Bad, 10, 9
596, Bad, 10, 6
225, Good, 10, 5
225, Bad, 10, 1
225, Bad, 10, 2
225, Bad, 10, 3
225, Bad, 10, 4
225, Bad, 10, 6
225, Bad, 10, 7
225, Bad, 10, 8
225, Bad, 10, 9
439.5, Good, 10, 4
612.5, Bad, 10, 5
612.5, Bad, 10, 7
612.5, Bad, 10, 9
612.5, Bad, 10, 3
612.5, Bad, 10, 1
325, Good, 10, 2
325, Bad, 10, 8
629, Good, 10, 5
637.25, Good, 10, 5
637.25, Bad, 10, 4
637.25, Bad, 10, 6
456, Good, 10, 9
176, Good, 10, 2
63, Good, 10, 7
63, Bad, 10, 8
25, Good, 10, 5
662, Good, 10, 5
678.5, Good, 10, 2
678.5, Bad, 10, 1
678.5, Bad, 10, 3
358, Good, 10, 5
695, Good, 10, 5
489, Good, 10, 5
489, Bad, 10, 1
489, Bad, 10, 3
711.5, Bad, 10, 1
728, Good, 10, 5
728, Bad, 10, 8
260, Good, 10, 5
103, Good, 10, 5
103, Bad, 10, 2
103, Bad, 10, 4
103, Bad, 10, 6
103, Bad, 10, 8
505.5, Good, 10, 2
505.5, Bad, 10, 1
505.5, Bad, 10, 3
744.5, Bad, 10, 7
391, Good, 10, 5
515.5, Good, 10, 2
515.5, Bad, 10, 1
761, Good, 10, 5
532, Good, 10, 9
209, Good, 10, 2
407.5, Bad, 10, 2
407.5, Bad, 10, 1
183, Good, 10, 2
293, Good, 10, 5
565, Good, 10, 4
565, Bad, 10, 8
565, Bad, 10, 7
565, Bad, 10, 9
159, Good, 10, 5
424, Good, 10, 7
581.5, Good, 10, 8
581.5, Bad, 10, 3
581.5, Bad, 10, 2
581.5, Bad, 10, 1
